Diagnosis,Count,Percentage
EARLY PRETERM ( 28 WKS +2 D ) |SINGLE| MALE|  NVD | 1.1 KG | AGA | RDS | S/P SURFACTANT | APNEA OF PREMATURITY| EARLY ONSET SEPSIS | GRAM -VE BACILLI | SEPTIC SHOCK | DIC  CAUSING PULMONARY HEMORRHAGE,1,0.7%
ACUTE GASTROENTERITIS WITH NO DEHYDRATION,1,0.7%
TERM /38 WEEKS+ 3 DAYS/ SINGLE/FEMALE/ LSCS/ 2.24KG/MSAF/NNH/HYPERNATREMIC DEHYDRATION,1,0.7%
TERM /40 WEEKS+ 5 DAYS/ SINGLE/FEMALE/ LSCS/ 3.22KG/ AGA / NNH/ HYPERNATREMIC DEHYDRATION,1,0.7%
"1. BILATERAL BRONCHIECTASIS - OLD PULMONARY TUBERCULOSIS SEQUELAE WITH OBSTRUCTIVE AIRWAY DISEASE WITH CORPULMONALE WITH SEVERE PAH IN CONGESTIVE CARDIAC FAILURE WITH SECONDARY INFECTION.
2. CHOLELITHIASIS WITHOUT CHOLECYSTITIS 
3. PAN GASTRITIS WITH FUNDAL ULCERS
4. ESOPHAGEAL POLYPOIDAL LESION.
5. HYPONATREMIA (3.2) UNDER ORAL CORRECTION
6. ASYMPTOMATIC HYPONATREMIA (136) - CORRECTED.",1,0.7%
"1. ACUTE EXACERBATION OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MILD PAH
2. SYSTEMIC HYPERTENSION 
3. GASTRO ESOPHAGEAL REFLUX DISEASE WITH HIATUS HERNIA ( HILLS GRADE 3 )",1,0.7%
TERM(38WEEKS +3DAYS ) | SINGLE | 2.6 KG | FEMALE | LSCS | AGA | HYPERNATREMIC DEHYDRATION,1,0.7%
Outborn baby / extreme preterm (25 weeks + 3 days)/ twin -1// male/ LSCS/severe rds /430 grams/aga / s/p surfactant/at risk of sepsis /anemia of prematurity/s/p blood transfusion/ /HYPONATREMIA/late onset sepsis/ septic shock/pulmonary hemorrhage,1,0.7%
ACUTE GASTROENTERITIS C SOME DEHYDRATION,1,0.7%
ACUTE GE WITH SOME DEHYDRATION,1,0.7%
"Uncontrolled type 2 diabetes mellitus
CVA with ischemic stroke with left Hemiparesis
Hypertension 
Hypothyroidism
old right Carcinoma Breast(s/p MRM)
Severe LV dysfunction with LVEF - 30%
Esophageal candidiasis with pangastritis.",1,0.7%
"-ACUTE GE WITH MODERATE DEHYDRATION 
-ENTERITIS",1,0.7%
"Septic Arthritis of the Left Hip (status post incision and drainage) with Multi-Organ Dysfunction Syndrome with Septic Shock,
 Rheumatoid Arthritis 
Type 2 Diabetes Mellitus ? drug-induced.",1,0.7%
ACUTE OTITIS MEDIA ( EARLY STAGE),1,0.7%
"DCLD WITH GROSS ASCITES 
ADS - HEPATIC ENCEPHALOPATHY - GRADE II
PORTAL HYPERTENSION WITH LARGE ESOPHAGEAL VARICES S/P EVL DONE ON 19/08/2025
COAGULOPATHY 
HYPOKALEMIA (CORRECTED)
ANEMIA 
HYPERTENSION",1,0.7%
"1) OESOPHAGEAL ULCEROSTRICTURING LESION- ULCERATIVE GROWTH ?? NEOPLASM
2) NUTRITIONAL  ANEMIA 
3) HYPOTHYROIDISM 
4)LEFT LOWER ZONE CONSOLIDATION",1,0.7%
"CKD(ACUTE ON CHRONIC) WITH PULMONARY EDEMA
CLD WITH PORTAL HYPERTENSION AND SMALL ESOPHAGEAL VARICES
PANCYTOPENIA
METABOLIC ACIDOSIS(CORRECTED)
DYSELECTROLYTEMIA(HYPERKALEMIA CORRECTED)
CHRONIC CYSTITIS",1,0.7%
"Acute Gastroenteritis with severe dehydration
Acute Kidney Injury
 Acute Coronary Syndrome – Inferior Wall and Posterior Wall Myocardial Infarction,",1,0.7%
"1)Severe Metabolic Acidosis
2)Sepsis in Sepsis Shock - multi organ dysfunction syndrome
3)Coronary heart disease-Heart failure with reduced ejection fraction (30%)
4)Aspiration Pneumonia with TYPE1 Respiratory failure
5)acute gastroenteritis with moderate dehydration
6)encephalopathy secondary to hyponatremia
7)Pancytopenia secondary to VitB12 deficiency 
8)Hypothyroidism
9)chronic obstructive pulmonary disease 
10)Major cognitive Disorder With Parkinson’s",1,0.7%
"1)ACUTE GE WITH SEVERE DEHYDRATION 
2)SEVERE METABOLIC ACIDOSIS WITH PRE  RENAL AKI
3)HYPOKALEMIC PERIODIC PARALYSIS",1,0.7%
"EARLY PRETERM (31WEEKS+3DAYS) / SINGLE/FEMALE/ LSCS/ 1.02KG/RDS/EOS/APNEA OF PREMATURITY/ROP/ S/P LASER ROP ZONE-2, STAGE 3 PLUS DISEASE",1,0.7%
acute gastroenteritis with severe dehydration/ shock/aki,1,0.7%
"ACUTE GE WITH MODERATE DEHYDRATION
ENTERITIS",1,0.7%
"ACUTE GE WITH MODERATE DEHYDRATION 
ANEMIA 
K/C/O HYPOTHYROIDISM 
GASTRIC POLYP",1,0.7%
"CASE OF B/L ACUTE PYELONEPHRITIS 
POD-4 - S/P B/L DJ STENTING 
UROSEPSIS IN SEPTIC SHOCK( RESOLVED )
BLADDER CYSTITIS",1,0.7%
ACUTE GE WITH MODERATE DEHYDRATION,1,0.7%
"ACUTE GASTROENTERITIS WITH DEHYDRATION (WITH SEVERE DEHYDRATION)
ACUTE KIDNEY INJURY (RESOLVED)
IHD (S\P PTCA -2024)
HYPERTENSION",1,0.7%
"neuroglycopenia
Acute ge with mild to moderate dehydration 
DCLD with PHTN with esophageal varices s/p evl banding",1,0.7%
"1.A/H/O CONSUMPTION OF P3 TSUNAMI (PEROXYACETIC ACID 15.2% + HYDROGEN PEROXIDE 11.2%) 
2.CHEMICAL PNEUMONITIS-ARDS
3.S/P TRACHEOSTOMY D4
4.GRADE 2B ESOPHAGEAL INJURY 
    GRADE 3A GASTRIC INJURY",1,0.7%
"UTI WITH UROSEPSIS 
AKI ?SEPSIS
CAP
ASPIRATION PNEMONIA
ACUTE GE
TYPE 2 DM/HTN
DYSELECTROLYTEMIA",1,0.7%
"Septic shock
 Acute GE with sepsis with MODS
HTN.",1,0.7%
"ALCOHOLIC DLCD WITH PORTAL HYPERTENSION
LARGE ESOPHAGEAL VARICES 
SMALL INTERNAL HEMORROIDS",1,0.7%
"ACUTE GE WITH SEVERE DEHYDRATION
AKI (RESOLVED)
HYPOTHYROIDISM",1,0.7%
"L4-5, L5-S1, IVDP
ACUTE GE
ECZEMA WITH PIH
CHOLESTASIS",1,0.7%
"RHEUMATIC HEART DISEASE WITH MILD MITRAL  STENOSIS AND MILD MITRAL REGURGITATION,
COMMUNITY ACQUIRED PNEUMONIA 
ACUTE GASTROENTERITIS,
 HYPOTHYROIDISM, AND 
HYPERTENSION.",1,0.7%
"- LEFT DIABETIC FOOT WITH PLANTAR ABSCESS S/P INCISION AND DRAINAGE 
- CAD / HFREF WITH SEVERE LV DYSFUNCTION 
- PULMONARY EDEMA
- AF WITH CVR
- T2DM WITH UNCONTROLLED SUGARS
- HYPERTENSION 
- TINEA CRURIS",1,0.7%
"1) ACUTE GASTROENTERITIS WITH MODERATE DEHYDRATION 
2) IRON DEFICIENCY ANEMIA
3) PCOD",1,0.7%
VIRAL FEVER GASTROENTERITIS WITH MILD DEHYDRATION,1,0.7%
"VIRAL FEVER WITH URTI
ACUTE GASTROENTERITIS WITH MILD DEHYDRATION",1,0.7%
ACUTE GASTROENTERITIS WITH SEVERE DEHYDRATION,1,0.7%
"HYPONATREMIA, HYPERTENSION
COMMUNITY ACQUIRED PNUEMONIA 
GRADE 1 PROSTATOMEGALY 
NEWLY ADDED DM TYPE 2",1,0.7%
"DYSENTRY
FOOD POISONING",1,0.7%
"ACUTE LEUKEMIA 
ACUTE GE",1,0.7%
"ACCELERATED HYPERTENSION,
NEWLY DETECTED TYPE 2 DIABETES MELLITUS,
ALCOHOL DEPENDENCE SYNDROME (ADS) WITH ALCOHOLIC HEPATITIS,
CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD) WITH COR PULMONALE,
PANGASTRITIS WITH ESOPHAGEAL ULCERS (BIOPSY REPORT AWAITED)",1,0.7%
"SEPSIS WITH SEPTIC SHOCK,
ACUTE GASTROENTERITIS WITH SEVERE DEHYDRATION,
METABOLIC ACIDOSIS,
ACUTE KIDNEY INJURY,",1,0.7%
"HEPATITIS (HAV IGG POSITIVE) WITH COAGULOPATHY(PROLONGED CHOLESTASIS)
PIVD WITH RADICULOPATHY (L4-L5) 
ESOPHAGEAL CANDIDIASIS 
PAN GASTRITIS WITH ATROPHY 
OGD: NO EVIDENCE OF PORTAL HYPERTENSION.",1,0.7%
"ACUTE GASTROENTERITIS 
UPPER RESPIRATORY TRACT INFECTION",1,0.7%
"SEPSIS WITH THROMBOCYTOPENIA
ACUTE GE WITH SEVERE DEHYDRATION 
MYOCARDITIS WITH LV DYSFUNCTION 
AKI WITH OLIGURIA
UTI",1,0.7%
"ACUTE GASTROENTERITIS
PANCOLITIS",1,0.7%
"ALCOHOL INTOXICATION
ACUTE GASTRITIS WITH SEVERE DEHYDRATION. 
ADS
OLD CAD",1,0.7%
"1.ALTERED SENSORIUM SECONDARY TO SEPTIC ENCEPHALOPATHY/ HYPONATREMIA 
2.ACUTE GE WITH AKI
3.CHOLELITHIASIS
4.NON HEALING ULCER OVER RIGHT LOWER LIMB WITH B/L LOWER LIMB CELLULITIS (CULTURE SENSITIVE TO INJ.TIGECYCLINE)
5.DYSELECTROLYTEMIA
6.HYPOGLYCEMIA
7.HYPOTHYROIDISM
8.BICYTOPENIA UNDER EVALUATION SECONDARY TO FOLIC ACID AND IRON DEFICIENCY ANEMIA
9.HYPERTENSION
10.COPD",1,0.7%
"ACUTE GASTROENTERITIS WITH  MILD DEHYDRATION 
ADENOMYOSIS",1,0.7%
"- ACUTE GE WITH SEVERE DEHYDRATION (RESOLVED)
-DYSELECTROLYTEMIA,HYPOKALEMIA(CORRECTED)
- PRE RENAL AKI (RESOLVED)
- ANEMIA SECONDARY TO NUTRITIONAL 
- UTI",1,0.7%
"UPPER GI BLEED SECONDARY TO ESOPHAGEAL VARICES
S/P EVL + GLUE,DONE ON 6/4/25, 
REPEAT EVL WAS DONE ON 20/8/25
DCLD WITH PORTAL HYPERTENSION 
T2DM
UTI",1,0.7%
"Bilateral Pneumonia (Viral)
Acute Respiratory Distress,
Syndrome (ARDS),
Acute Gastroenteritis with Dehydration",1,0.7%
ACUTE GASTROENTERITIS WITH DEHYDRATION.,1,0.7%
"1.ACUTE GE WITH SEVERE DEHYDRATION 
2.LRTI
3.UNCONTROLLED TYPE 2DM
4.HYPOKALEMIA
5. ANEMIA (NUTRITIONAL)",1,0.7%
"HYPERTENSIVE ENCEPHALOPATHY 
NEWLY DETECTED TYPE 2 DIABETES MELLITUS (13.4% HBA1C)
COMMUNITY ACQUIRED PNEUMONIA 
GRADE 3 HYPERTENSIVE RETINOPATHY 
ADS
PROSTATOMEGALAY 
BLADDER POLYP ( ? MALIGNANCY)",1,0.7%
"MYELOPATHY WITH SENSORY ATAXIA – LIKELY SECONDARY TO VITAMIN B12 DEFICIENCY,
ACUTE GASTROENTERITIS,
CYSTITIS,
ALCOHOL DEPENDENCE SYNDROME WITH UNCOMPLICATED WITHDRAWAL.",1,0.7%
"DECOMPENSATED CHRONIC LIVER DISEASE WITH PORTAL HYPERTENSION,
ESOPHAGEAL VARICES GRADE III – S/P ENDOSCOPIC VARICEAL LIGATION ON 23/09/2025,
HEMATEMESIS WITH SEVERE ANEMIA – TRANSFUSED 2 PINT PRBC, 4 PINT FFP,
RIGHT PYELONEPHRITIS WITH SEPTIC SHOCK AND EARLY ENCEPHALOPATHY,
ACUTE KIDNEY INJURY.",1,0.7%
"RETROVIRAL DISEASE (NEWLY DETECTED),
PULMONARY KOCH’S DISEASE (SPUTUM NEGATIVE, NEWLY DETECTED),
SEVERE ANEMIA SECONDARY TO LOWER GASTROINTESTINAL BLEED (ANAL FISSURE).",1,0.7%
"RIGHT DIABETIC FOOT ULCER – S/P DEBRIDEMENT, INCISION & DRAINAGE,
ASPIRATION PNEUMONIA WITH RESPIRATORY FAILURE,
RIGHT PNEUMOTHORAX – S/P ICD INSERTION (SECONDARY TO ALLEGED HANGING),
UNCONTROLLED TYPE 2 DIABETES MELLITUS (HBA1C 12.5%) – WITH DIABETIC KETOACIDOSIS,
SEPSIS WITH METABOLIC ACIDOSIS,
DYSELECTROLYTEMIA,
DELIBERATE SELF-HARM (ALLEGED HANGING) WITH DEPRESSION.",1,0.7%
ACUTE GASTROENTERITIS WITH MILD DEHYDRATION,1,0.7%
"ACUTE GASTROENTERITIS WITH NO DEHYDRATION 
TYPE 1 DIABETES MELLITUS",1,0.7%
"SEPSIS WITH AKI
? UREMIC ENCEPHALOPATHY
ACUTE GASTROENTERITIS
HYPONATREMIA",1,0.7%
"DCLD WITH PORTAL -HYPERTENSION 
-LARGE ESOPHAGEAL VARICE S/P EUL",1,0.7%
"1.severe metabolic acidosis
2.sepsis with septic shock in mods 
3.acute ge with moderate dehydration 
4.cap with type 1 respiratory failure 
5.upper gi bleed 
6.hypoglycemia 
7.pancytopenia 
8.Squamous cell carcinoma of Rt upper alveoli S/P Composite resection and reconstruction 15 days back",1,0.7%
"ACUTE GE WITH MODERATE DEHYDRATION 
AKI(RESOLVED)
ACCELERATED HYPERTENSION
POLYCYTHEMIA",1,0.7%
"ACUTE GASTROENTRITIS WITH MODERATE DEHYDRATION 
SEVERE PAH, D SHAPED LV, DILATED RA & RV (LVEF -57%).",1,0.7%
"DCLD WITH PORTAL HYPERTENSION 
SMALL INTERNAL HAEMORRHOIDS WITH SMALL ESOPHAGEAL VARICES WITH NORCS",1,0.7%
"ACUTE GASTROENTERITIS 
ANEMIA ( MICROCYTIC HYPOCHROMIC)
BRONCHIAL ASTHMA",1,0.7%
"AKI
ACUTE GE 
T2DM
K/C/O MGN FOCAL SCLEROSIS, ATN",1,0.7%
"Acute on Chronic Pancreatitis,
Acute Gastroenteritis,
Anemia (?Iron Deficiency Anemia),
Type 2 Diabetes Mellitus (HbA1c – 7.5%),
Adenomyosis",1,0.7%
"DECOMPENSATED CHRONIC LIVER DISEASE (DCLD) WITH PORTAL HYPERTENSION,
ESOPHAGEAL VARICES WITH NO RECENT/ACTIVE BLEED,
ALCOHOL DEPENDENCE SYNDROME WITH UNCOMPLICATED WITHDRAWAL",1,0.7%
"DIAGNOSIS :

- ACUTE GASTROENTERITIS WITH SEVERE DEHYDRATION 
- WITH HYPOVOLEMIC SHOCK ( RESOLVED ) 
- ? HEPATITIS - B POSITIVE STATUS ( NO DOCUMENTS AVAILABLE )
- TYPE - 2 DIABETES MELLITUS
- ALCOHOL DEPENDENCE SYNDROME",1,0.7%
"DCLD WITH PORTAL HYPERTENSION WITH SMALL ESOPHAGEAL VARICES (NO RCS)
HEPATORENAL SYNDROME 
TYPE 2 DIABETES MELLITUS 
ANEMIA (MHA)",1,0.7%
"1.	HERPES ZOSTER (DERMATOMAL DISTRIBUTION T7–T8) WITH COAGULOPATHY.
2.	KNOWN CASE OF BIPOLAR AFFECTIVE DISORDER WITH INTERNET GAMING ADDICTION,
POST-TRAUMATIC AMNESIA / PSYCHOSIS,
PERIPHERAL VERTIGO.",1,0.7%
ACUTE GE WITH MILD DEHYDRATION,1,0.7%
"LEFT CA BREAST S/P INCISION AND DRAINAGE ( ON MEDICATION)
PARKINSON’S DISEASE
URINARY TRACT INFECTION 
DYSELECTROLYTEMIA
HYPERTENSION, T2DM",1,0.7%
"DCLD WITH PORTAL HYPERTENSION 
 SEIZURE DISORDER 
 GASTROINTESTINAL REFLUX DISEASE
 UNCONTROLLED DIABETES MELLITUS 
 ALCOHOL DEPENDENT SYNDROME 
 ACUTE KIDNEY INJURY UNDER    EVALUATION 
 SEVERE ANEMIA 
 COMMUNITY ACQUIRED PNEUMONIA",1,0.7%
"CAD/ACS/NSTEMI/MODERATE LV DYSFUNCTION WITH CARDIOGENIC SHOCK WITH PULMONARY EDEMA
ACUTE GASTROENTERITIS WITH SEVERE DEHYDRATION WITH AKI
HTN",1,0.7%
"- SEPSIS WITH SEPTIC SHOCK WITH MULTI ORGAN DYSFUNCTION SYNDROME
- ACUTE ON CHRONIC LIVER FAILURE IN HEPATIC ENCEPHALOPATHY WITH COAGULOPATHY WITH LARGE ESOPHAGEAL VARICES S/P EVL 
- COMMUNITY ACQUIRED PNEUMONIA -( SPUTUM C/S - ACINETOBACTER SPECIES )
- URINARY TRACT INFECTION ( URINE C/S - ENTEROCOCCUS SPECIES )
- DYSELECTROLEMIA ( HYPONATREMIA HYPERKALEMIA ) 
- ALCOHOL DEPENDENCE SYNDROME",1,0.7%
"C/O LEFT PYELONEPHRITIS
? PANCREATITIS.
ACUTE ON CKD
TYPE-2 DIABETES MELLITUS WITH ?DIABETIC PERIPHERAL NEUROPATHY.
CHOLELITHIASIS.
ACUTE GASTROENTERITIS.",1,0.7%
"ACUTE GASTROENTERITIS WITH MODERATE DEHYDRATION 
TYPE 2 DIABETES MELLITUS 
DIABETIC KETOACIDOCIS",1,0.7%
"1)ACUTE GASTROENTERITIS WITH MODERATE DEHYDRATION 
2)DYSELECTROLYTEMIA (RESOLVED)
3) HYPOTHYROIDISM",1,0.7%
"- RECURRENT HYPOGLYCEMIA(RESOLVED){SECONDARY TO OHA'S} 
- CKD
- ACUTE GE (RESOLVED)
- CAP
- TYPE 2 DIABETES MELLITUS (5.7%)
- HYPERTENSION WITH GRADE 2 HYPERTENSIVE RETINOPATHY & B/L MODERATE NPDR",1,0.7%
"ACUTE GE WITH MODERATE DEHYDRATION 
ANEMIA (IDA)",1,0.7%
"ACUTE GASTROENTERITIS WITH NO DEHYDRATION 
NCCP",1,0.7%
"ENTEROCOLITIS   WITH DEHYDRATION( CORRECTED ).
ACNE VULGARIS GR 2 WITH PIH",1,0.7%
ACUTE GASTROENTERITIS WITH DEHYDRATION,1,0.7%
"ACUTE GASTROENTERITIS WITH MODERATE DEHYDRATION (RESOLVED) 
PRERENAL AKI SECONDARY TO UTI (RESOLVED) 
BULKY UTERUS WITH INTRAMURAL FIBROIDS 
CHOLELITHIASIS 
RIGHT EXOPHYTIC RENAL CORTICAL CYST",1,0.7%
"- ACCELERATED HYPERTENSION ( NEWLY DETECTED)
- ACUTE GE WITH MILD DEHYDRATION 
- DYSELECTROLYTEMIA ( HYPONATREMIA)
-  S/P RE PHACO+PCIOL
- PNEUMOCONIOSIS (ASBESTOSIS)
- ?CVA",1,0.7%
"ACUTE GE WITH MODERATE DEHYDRATION 
TYPE 2 DM 
ASYMPTOMATIC CHOLELITHIASIS",1,0.7%
"ALTERED SENSORIUM UNDER EVALUATION 
ACS-NSTEMI / HFrEF WITH PULMONARY EDEMA WITH CARDIOGENIC SHOCK
IHD S/P PTCA 
MULTIPLE MYELOMA 
TYPE 2 DIABETES MELLITUS
 CKD STAGE 4",1,0.7%
"•CAP/ COPD ( BRONCHIOLITIS) WITH PAH 
•ESOPHAGEAL CANDIDIASIS 
• B/L RENAL CORTICAL CYSTS
• GRADE 2 PROSTATOMEGALY
• CHOLEDOCOLITHIASIS
• DRY DISCOID ECZEMA B/L LOWER LIMB",1,0.7%
"- Acute on chronic decompensated liver disease ( child pugh Class C )
- with portal Hypertension with esophageal varices s/p EVL (during previous admission) 
- in hepatic encephalopathy 
- with coagulopathy 
- with Hepatorenal syndrome 
- Septic shock 
- Anemia: Bicytopenia
- Dyselectrolytemia 
- ADS in complex withdrawal State",1,0.7%
"DCLD SECONDARY TO ALCOHOL INTOXICATION
LARGE ESOPHAGEAL VARICES S/P EVL BENDING
ANEMIA
TYPE 2 DIABETES MELLITUS",1,0.7%
ACUTE GE WITH SEVERE DEHYDRATION,1,0.7%
?HYPOTENSION SECONDARY TO ACUTE GASTROENTERITIS,1,0.7%
"ACUTE GASTROENTERITIS WITH MODERATE DEHYDRATION (RESOLVED)
DCLD WITH PORTAL HTN ,LARGE ESOPHAGEAL VARICES (EVL DONE)
AKI (RESOLVED)",1,0.7%
"ACUTE GE WITH MODERATE DEHYDRATION 
HTN
T2DM",1,0.7%
"•ACUTE GE WITH MODERATE DEHYDRATION
• URTI
•AKI (PRE RENAL ) ( RESOLVED)
• DENGUE IGG (+)
• ADJUSTMENT DISORDER",1,0.7%
"ACUTE GASTROENTERITIS WITH MILD DEHYDRATION 
?HYPOTHYDROIDISM
?",1,0.7%
"ACUTE GASTROENTERITIS WITH MODERATE DEHYDRATION 
?T2DM
?HTN
?OLD CVA/TIA",1,0.7%
"CORONARY ARTERY DISEAS - ACUTE CORONARY SYNDROME – STEMI, EVOLVED ANTERIOR WALL MI (AWMI), MODERATE LEFT VENTRICULAR DYSFUNCTION,
COMMUNITY ACQUIRED PNEUMONIA – LEFT MIDDLE AND LOWER ZONE CONSOLIDATION WITH PLEURAL EFFUSION – EARLY ARDS,
TYPE 2 DIABETES MELLITUS
ACUTE KIDNEY INJURY,
ACUTE GASTROENTERITIS,
THROMBOCYTOPENIA,
HYPOKALEMIA.",1,0.7%
"AFI - UTI( CULTURE: E. COLI)
RTA - TRAUMATIC CERVICAL COMPRESSIVE MYELOPATHY (SINCE 1AND1/2 MONTH) WITH BOWEL AND BLADDER INVOLVEMENT 
BRADYCARDIA/ DRUG INDUCED",1,0.7%
ACUTE GASTROENTERITIS WITH MODERATE DEHYDARTION,1,0.7%
"ACUTE GASTROENTERITIS WITH MODERATE DEHYDRATION
?ACUTE ON CHRONIC FISSURE IN ANO.",1,0.7%
"?AUTE GASTROENTERITIS WITH MODERATE DEHYDRATION 
?G4 P2 L2 A1 WITH WEEK 7 DAYS 
?HYPOTHYROIDISM",1,0.7%
"ACUTE GASTROENTERITIS WITH SEVERE DEHYDRATION 
- WITH HYPOVOLEMIC / SEPTIC SHOCK 
- WITH PRERENAL ACUTE KIDNEY INJURY ( ? ON CHRONIC KIDNEY DISEASE )
- TACHYARRHYTHMIA S/P CARDIOVERSION 
- K/C/O HYPERTENSION",1,0.7%
"HEMTEMESIS UNDER EVALUATION- ?SECONDARY TO OESOPHAGEAL VARICES 
?ADS
?CLD",1,0.7%
"ACUTE GE WITH AKI(RESOLVED)
RIGHT LOWER LOBE CONSOLIDATION
T2 DM 
SEIZURE DISORDER",1,0.7%
"1. DCLD WITH PORTAL HYPERTENSION 
2. LARGE ESOPHAGEAL VARICES S/P EVL (26/11/2025)
3. CHOLELITHIASIS WITH COAGULOPATHY
CHILD PUGH SCORE 'C' 
MADDERY'S - 85.3 
4. ? PARAPSORIASIS 
5. ? DIRTY DERMATITIS",1,0.7%
"COMMUNITY ACQUIRED PNEUMONIA 
ACUTE GE ( RESOLVED )
ANEMIA (MCHC ) 
DENGUE IGM (+VE)
TYPE 2 DM 
HTN",1,0.7%
"ACUTE GASTROENTERITIS
 DYSELECTROLYTEMIA (HYPOKALEMIA)",1,0.7%
"1)DCLD - PORTAL HYPERTENSION 
   S/P EVEL FOR ESOPHAGEAL VERISCIES 
2)PANCYTOPENIA WITH SEVERE ANEMIA 
3)TYPE-2 DM
4) HYPERTENSION 
5)ADS
6) HERPES ZOASTER , RIGHT SIDE CHEST LUMP -( T4 DERMATOME)
7)COAGULOPATHY",1,0.7%
1) CVA - ACUTE RIGHT CEREBELLAR HEMORRHAGE WITH EXTENSION INTO FOURTH VENTRICLE,1,0.7%
"HYPOGLYCAEMIA SECONDARY TO ?OHA
RE-PROLIFERATIVE DIABETIC RETINOPATHY
LE-?VITREOUS HEMORRHAGE",1,0.7%
